arquivo,cenario,P_max,semente,S_UR_maximo,fracao_heuristica,defeitos_gerados
j6010_1.sm,centralizada,0.2,0,12.0,0.4152173913043478,10
j6010_1.sm,centralizada,0.2,1,12.5,0.34334763948497854,11
j6010_1.sm,centralizada,0.2,2,23.5,0.21369294605809128,16
j6010_1.sm,centralizada,0.2,3,12.5,0.2627118644067797,13
j6010_1.sm,centralizada,0.2,4,11.0,0.4381338742393509,9
j6010_1.sm,centralizada,0.2,5,21.5,0.391578947368421,11
j6010_1.sm,centralizada,0.2,6,13.0,0.21030042918454936,14
j6010_1.sm,centralizada,0.2,7,16.5,0.5164835164835165,13
j6010_1.sm,centralizada,0.2,8,12.0,0.6948775055679287,15
j6010_1.sm,centralizada,0.2,9,11.0,0.26021505376344084,18
j6010_1.sm,centralizada,0.2,10,7.5,0.5286343612334802,8
j6010_1.sm,centralizada,0.2,11,8.0,0.23404255319148937,16
j6010_1.sm,centralizada,0.2,12,15.0,0.23651452282157676,12
j6010_1.sm,centralizada,0.2,13,5.0,0.15,12
j6010_1.sm,centralizada,0.2,14,12.0,0.3117154811715481,14
j6010_1.sm,centralizada,0.2,15,8.5,0.3600867678958785,10
j6010_1.sm,centralizada,0.2,16,22.5,0.266260162601626,13
j6010_1.sm,centralizada,0.2,17,14.0,0.346723044397463,13
j6010_1.sm,centralizada,0.2,18,27.0,0.29521829521829523,12
j6010_1.sm,centralizada,0.2,19,17.5,0.35578947368421054,12
j6010_1.sm,centralizada,0.2,20,26.0,0.2542372881355932,17
j6010_1.sm,centralizada,0.2,21,18.0,0.21311475409836064,18
j6010_1.sm,centralizada,0.2,22,8.0,0.47844827586206895,12
j6010_1.sm,centralizada,0.2,23,9.5,0.4660831509846827,11
j6010_1.sm,centralizada,0.2,24,15.5,0.3912133891213389,16
j6010_1.sm,centralizada,0.2,25,17.0,0.3785557986870897,17
j6010_1.sm,centralizada,0.2,26,20.0,0.23628691983122363,15
j6010_1.sm,centralizada,0.2,27,13.500607870596033,0.42592592592592593,12
j6010_1.sm,centralizada,0.2,28,14.5,0.37310195227765725,10
j6010_1.sm,centralizada,0.2,29,11.0,0.5033259423503326,11
j6010_1.sm,centralizada,0.2,30,18.0,0.2795275590551181,16
j6010_1.sm,centralizada,0.2,31,7.0,0.36041666666666666,11
j6010_1.sm,centralizada,0.2,32,13.0,0.36026200873362446,8
j6010_1.sm,centralizada,0.2,33,16.0,0.4127659574468085,13
j6010_1.sm,centralizada,0.2,34,18.0,0.25427350427350426,13
j6010_1.sm,centralizada,0.2,35,19.5,0.24301075268817204,11
