arquivo,semente,cenario,t,tarefa,agente,E,E_menos_tau_sat,p_heu,q,Di,P,B,mu_cog,mu_rede,porta,p0,p_fail,excesso,duracao_nominal,duracao_efetiva,duracao_analitica,sorteio_porta,sorteio_falha,falhou,executada,selecionou_p1,competencia
j6010_1.sm,0,centralizada,0,2,2,0.2748508692523733,-0.7251491307476268,0.05212408269462345,0.0,0.9161695641745776,0.3,1.0,1.0,0.8320895522388061,P2,,,,9,,11,0.6066357757671799,,,False,False,0.6268507180531939
j6010_1.sm,0,centralizada,0,2,5,0.2748508692523733,-0.7251491307476268,0.05212408269462345,0.0,0.9161695641745776,0.3,1.0,1.0,0.8320895522388061,P2,,,,9,,11,0.7294965609839984,,,False,False,0.5933914065891382
j6010_1.sm,0,centralizada,0,2,0,0.2748508692523733,-0.7251491307476268,0.05212408269462345,0.0,0.9161695641745776,0.3,1.0,1.0,0.8320895522388061,P2,,,,9,,11,0.5436249914654229,,,False,False,0.5650876265312073
j6010_1.sm,0,centralizada,0,2,3,0.2748508692523733,-0.7251491307476268,0.05212408269462345,0.0,0.9161695641745776,0.3,1.0,1.0,0.8320895522388061,P2,,,,9,,11,0.9350724237877682,,,False,False,0.5625880140583648
j6010_1.sm,0,centralizada,0,2,1,0.2748508692523733,-0.7251491307476268,0.05212408269462345,0.0,0.9161695641745776,0.3,1.0,1.0,0.8320895522388061,P2,,,,9,,11,0.8158535541215322,,,False,False,0.5341474164050438
j6010_1.sm,0,centralizada,0,2,4,0.2748508692523733,-0.7251491307476268,0.05212408269462345,0.0,0.9161695641745776,0.3,1.0,1.0,0.8320895522388061,P1_omissao,0.2985,0.2985,0.0,9,9,11,0.002738500170148095,0.8574042765875693,False,True,True,0.4857196752206667
j6010_1.sm,0,centralizada,1,3,2,0.1075436853024188,-0.8924563146975812,0.027389465546204125,0.0,0.347262688787982,0.30968972128208855,1.0,1.0,0.8091499426152828,P3_analitica,0.1,0.1,0.0,1,2,2,0.033585575305464355,0.7296554464299441,False,True,False,0.6268507180531939
j6010_1.sm,0,centralizada,1,4,5,0.1052856410360002,-0.8947143589639998,0.0271498791793456,0.0,0.3399713771581659,0.30968972128208855,1.0,1.0,0.7408500573847171,P3_analitica,0.1,0.1,0.0,1,2,2,0.17565562060255901,0.8631789223498866,False,True,False,0.5933914065891382
j6010_1.sm,0,centralizada,3,5,2,0.19044498811537852,-0.8095550118846215,0.037752498106506306,0.0,0.6259851954468953,0.30161495354701473,0.9913965051758065,0.9939210753077095,0.8091499426152828,P3_analitica,0.23761183870384361,0.23761183870384361,0.0,6,8,8,0.5414612202490917,0.2997118905373848,False,True,False,0.6268507180531939
j6010_1.sm,0,centralizada,3,6,5,0.15944141111247417,-0.8405585888875258,0.033496811076317405,0.0,0.5241731484433758,0.30161495354701473,0.9915771487171199,0.9946011734382378,0.7408500573847171,P3_analitica,0.19430982398426433,0.19430982398426433,0.0,9,13,13,0.42268722119765845,0.028319671145462966,True,True,False,0.5933914065891382
