ponto,instancia,semente,risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,concluiu,divida_pendente,violacoes,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total
1,j6010_1.sm,0,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.05,1.4588235294117646,0.15726713909086693,0.8652034535069429
1,j6010_1.sm,1,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.11666666666666667,1.6705882352941177,0.2790646983018825,0.8224738634943263
1,j6010_1.sm,2,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.06666666666666667,1.6352941176470588,0.25757514902083095,0.8293642306666602
1,j6010_1.sm,3,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.11666666666666667,1.7529411764705882,0.22164097863757998,0.8498239118288718
1,j6010_1.sm,4,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.15,1.6823529411764706,0.18109817645186674,0.8686774153478158
1,j6010_1.sm,5,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.16666666666666666,1.6,0.21938358594343832,0.8462244139941957
1,j6010_1.sm,6,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.08333333333333333,1.588235294117647,0.15344841773703058,0.8773507780466206
1,j6010_1.sm,7,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.05,1.5176470588235293,0.15597806418028604,0.8612294650013053
1,j6010_1.sm,8,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.1,1.776470588235294,0.2815187406663603,0.8140073303812144
1,j6010_1.sm,9,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.11666666666666667,1.6588235294117648,0.2248328960658512,0.8445755158467368
1,j6010_1.sm,10,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.15,1.7294117647058824,0.21848053088090763,0.8436235893551319
1,j6010_1.sm,11,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.11666666666666667,1.6705882352941177,0.24369055759695707,0.8398043403520171
1,j6010_1.sm,12,0.2028589515166244,0.4163711961176229,1.32032857017517,0.1077682278241456,0.5851246708370498,True,0,0,0.15,1.576470588235294,0.24699745534586517,0.8180141108937389
